transect_run_ID,run_ID,transect_ID,date,start_time_bird1,end_time_bird1,start_time_fish,end_time_fish,direction_fish,start_time_bird2,end_time_bird2,weather,waves,water_green,remarks,observers
tree_6_extra_4,extra_4,tree_6,14-Mar-2025,12:55,12:58,13:00,13:09,from coast,13:12,13:17,sunny,little waves,no,,"Vera, Joyce, Bahebe, Kelvin"
pap_5_extra_4,extra_4,pap_5,14-Mar-2025,13:27,13:32,13:34,13:42,from coast,13:46,13:50,sunny,little waves,no,,"Vera, Joyce, Bahebe, Kelvin"
tree_6_run_4,run_4,tree_6,15-Mar-2025,8:22,8:28,8:30,8:37,from coast,8:40,8:46,sunny,calm,no,,"Vera, Joyce, Bahebe, Kelvin"
pap_5_run_4,run_4,pap_5,15-Mar-2025,8:55,9:00,9:02,9:09,from coast,9:14,9:18,sunny,calm,yes,,"Vera, Joyce, Bahebe, Kelvin"
pap_6_run_4,run_4,pap_6,15-Mar-2025,9:22,9:26,9:28,9:36,from coast,9:40,9:45,sunny,calm,yes,,"Vera, Joyce, Bahebe, Kelvin"
tree_7_run_4,run_4,tree_7,15-Mar-2025,9:57,10:01,10:02,10:10,from coast,10:14,10:19,sunny,calm,yes,,"Vera, Joyce, Bahebe, Kelvin"
tree_8_run_4,run_4,tree_8,15-Mar-2025,10:22,10:27,10:29,10:36,from coast,10:39,10:44,half cloudy,calm,yes,,"Vera, Joyce, Bahebe, Kelvin"
pap_1_run_5,run_5,pap_1,9-Apr-2025,9:26,9:30,9:32,9:40,from coast,9:44,9:49,sunny,calm,no,,"Vera, Joyce, Bahebe, Kelvin"
pap_2_run_5,run_5,pap_2,9-Apr-2025,9:52,9:58,9:59,10:07,from coast,10:11,10:16,sunny,calm,no,,"Vera, Joyce, Bahebe, Kelvin"
tree_1_run_5,run_5,tree_1,9-Apr-2025,10:25,10:29,10:31,10:38,from coast,10:42,10:48,sunny,calm,no,,"Vera, Joyce, Bahebe, Kelvin"
tree_2_run_5,run_5,tree_2,9-Apr-2025,10:52,10:57,10:59,11:05,from coast,11:09,11:15,sunny,calm,no,,"Vera, Joyce, Bahebe, Kelvin"
tree_3_run_5,run_5,tree_3,9-Apr-2025,11:27,11:31,11:34,11:44,from coast,11:45,11:52,sunny,calm,no,,"Vera, Joyce, Bahebe, Kelvin"
tree_4_run_5,run_5,tree_4,9-Apr-2025,11:56,12:00,12:02,12:09,from coast,12:13,12:17,sunny,calm,no,,"Vera, Joyce, Bahebe, Kelvin"
pap_3_run_5,run_5,pap_3,9-Apr-2025,12:27,12:32,12:33,12:42,from coast,12:46,12:50,sunny,calm,no,,"Vera, Joyce, Bahebe, Kelvin"
pap_4_run_5,run_5,pap_4,10-Apr-2025,8:40,8:45,8:47,8:56,from coast,8:59,9:03,half cloudy,little waves,bit,,"Vera, Joyce, Bahebe, Kelvin"
tree_5_run_5,run_5,tree_5,10-Apr-2025,9:06,9:14,9:15,9:24,from coast,9:29,9:34,half cloudy,calm,bit,,"Vera, Joyce, Bahebe, Kelvin"
tree_6_run_5,run_5,tree_6,10-Apr-2025,9:36,9:40,9:42,9:51,from coast,9:54,9:58,half cloudy,calm,yes,,"Vera, Joyce, Bahebe, Kelvin"
pap_5_run_5,run_5,pap_5,10-Apr-2025,10:08,10:12,10:13,10:21,from coast,10:25,10:30,half cloudy,calm,yes,,"Vera, Joyce, Bahebe, Kelvin"
pap_6_run_5,run_5,pap_6,10-Apr-2025,10:33,10:37,10:38,10:47,from coast,10:50,10:54,half cloudy,calm,yes,,"Vera, Joyce, Bahebe, Kelvin"
tree_7_run_5,run_5,tree_7,10-Apr-2025,11:06,11:10,11:11,11:21,from coast,11:24,11:33,half cloudy,calm,yes,,"Vera, Joyce, Bahebe, Kelvin"
tree_8_run_5,run_5,tree_8,10-Apr-2025,11:36,11:40,11:42,11:50,from coast,11:54,11:59,half cloudy,calm,yes,,"Vera, Joyce, Bahebe, Kelvin"
tree_6_run_5,run_5,tree_6,11-Apr-2025,NA,NA,8:01,8:08,from coast,NA,NA,sunny,calm,no,only water assessed,"Vera, Joyce, Kelvin"
pap_5_run_5,run_5,pap_5,11-Apr-2025,NA,NA,8:22,8:30,from coast,NA,NA,sunny,calm,no,only water assessed,"Vera, Joyce, Kelvin"
pap_6_run_5,run_5,pap_6,11-Apr-2025,NA,NA,8:36,8:45,from coast,NA,NA,sunny,little waves,no,only water assessed,"Vera, Joyce, Kelvin"
tree_7_run_5,run_5,tree_7,11-Apr-2025,NA,NA,9:08,9:16,to coast,NA,NA,sunny,little waves,no,only water assessed,"Vera, Joyce, Kelvin"
tree_8_run_5,run_5,tree_8,11-Apr-2025,NA,NA,9:23,9:33,from coast,NA,NA,sunny,little waves,no,only water assessed,"Vera, Joyce, Kelvin"
tree_8_run_6,run_6,tree_8,16-Apr-2025,8:20,8:24,8:27,8:35,from coast,8:39,8:43,sunny,calm,bit,,"Vera, Joyce, Bahebe"
tree_7_run_6,run_6,tree_7,16-Apr-2025,8:54,8:59,9:01,9:09,from coast,9:13,9:17,half cloudy,calm,bit,,"Vera, Joyce, Bahebe"
pap_6_run_6,run_6,pap_6,16-Apr-2025,9:30,9:34,9:36,9:44,from coast,9:47,9:52,half cloudy,calm,yes,,"Vera, Joyce, Bahebe"
pap_5_run_6,run_6,pap_5,16-Apr-2025,9:54,9:58,9:59,10:07,from coast,10:11,10:15,half cloudy,calm,yes,,"Vera, Joyce, Bahebe"
tree_6_run_6,run_6,tree_6,16-Apr-2025,10:25,10:30,10:31,10:39,from coast,10:44,10:47,half cloudy,calm,yes,,"Vera, Joyce, Bahebe"
tree_5_run_6,run_6,tree_5,16-Apr-2025,10:55,11:00,11:02,11:10,from coast,11:14,11:18,half cloudy,calm,yes,,"Vera, Joyce, Bahebe"
pap_4_run_6,run_6,pap_4,16-Apr-2025,11:26,11:29,11:30,11:40,from coast,11:43,11:46,half cloudy,calm,yes,,"Vera, Joyce, Bahebe"
pap_3_run_6,run_6,pap_3,16-Apr-2025,11:53,11:57,11:59,12:08,from coast,12:11,12:15,half cloudy,little waves,bit,,"Vera, Joyce, Bahebe"
tree_4_run_6,run_6,tree_4,16-Apr-2025,12:25,12:29,12:30,12:39,from coast,12:43,12:47,half cloudy,little waves,yes,,"Vera, Joyce, Bahebe"
pap_1_run_6,run_6,pap_1,17-Apr-2025,9:18,9:22,9:24,9:31,from coast,9:34,9:39,sunny,calm,bit,,"Vera, Joyce, Bahebe, Kelvin"
